,xUTM,yUTM,Prob
153,478500,856000,0.0007871739375432876
154,479000,856000,0.0005718499823483716
155,479500,856000,0.00044391082661146455
156,480000,856000,0.0004307043627509419
157,480500,856000,0.00035454216664235693
158,481000,856000,0.00019608738780190572
159,481500,856000,6.882512759044908e-05
160,482000,856000,1.5115529641564928e-05
161,482500,856000,2.0649457737874914e-06
162,483000,856000,1.748305032377089e-07
163,483500,856000,9.151778339744758e-09
164,484000,856000,2.9577766783920484e-10
165,468000,856500,1.0645710904875207e-12
166,468500,856500,2.7965398621634968e-11
167,469000,856500,6.091077446585197e-10
168,469500,856500,9.77677626323002e-09
169,470000,856500,1.0447797503544978e-07
170,470500,856500,7.091558739396322e-07
171,471000,856500,3.008858045053395e-06
172,471500,856500,7.99567937934344e-06
173,472000,856500,1.3844620698202085e-05
174,472500,856500,1.8803891869159867e-05
175,473000,856500,3.1434337814627126e-05
176,473500,856500,7.731777665850712e-05
177,474000,856500,0.0002118196475683954
178,474500,856500,0.0004963095638659371
179,475000,856500,0.0008286906674390335
180,475500,856500,0.0009071317555148788
181,476000,856500,0.0006446016517147027
182,476500,856500,0.0003437138618707874
183,477000,856500,0.00028555196096379686
184,477500,856500,0.0004763938706602499
185,478000,856500,0.000700158196512111
186,478500,856500,0.0007596354213186829
187,479000,856500,0.0007947560611600935
188,479500,856500,0.0010114196003770794
189,480000,856500,0.0011755106182739677
190,480500,856500,0.0009577401246363389
191,481000,856500,0.0005065643705906597
192,481500,856500,0.00017073178847537915
193,482000,856500,3.6384682211347834e-05
194,482500,856500,4.875863599818645e-06
195,483000,856500,4.0923496112461037e-07
196,483500,856500,2.14685094378312e-08
197,484000,856500,7.044274778021503e-10
198,468000,857000,2.0211282841107323e-11
199,468500,857000,3.8427390009327714e-10
200,469000,857000,5.935245463799593e-09
201,469500,857000,7.60297143791654e-08
202,470000,857000,7.272484013296489e-07
203,470500,857000,4.6838890846562286e-06
204,471000,857000,1.931860411593902e-05
205,471500,857000,5.038742384401027e-05
206,472000,857000,8.526040789777618e-05
207,472500,857000,0.00010697912889755778
208,473000,857000,0.0001416443189488575
209,473500,857000,0.0002490534390340373
210,474000,857000,0.0004975938192974186
211,474500,857000,0.0009619045624324139
212,475000,857000,0.0014915678192257845
213,475500,857000,0.0016161727764838502
214,476000,857000,0.0012025844729377127
215,476500,857000,0.0007273800504525549
216,477000,857000,0.000562323294493078
217,477500,857000,0.0006320142972017257
218,478000,857000,0.0007179143387866072
219,478500,857000,0.0008287057434504392
220,479000,857000,0.0012754768872811474
221,479500,857000,0.0020606185897800037
222,480000,857000,0.0024444691976602782
223,480500,857000,0.0019037747152687967
224,481000,857000,0.0009548423819683467
225,481500,857000,0.0003078624163098567
226,482000,857000,6.382258738573361e-05
227,482500,857000,8.512611307682272e-06
228,483000,857000,7.324925225406237e-07
229,483500,857000,4.095262499781274e-08
230,484000,857000,1.5073013176566156e-09
231,468000,857500,2.930260974157772e-10
232,468500,857500,4.7104769931755295e-09
233,469000,857500,5.379560004369377e-08
234,469500,857500,4.89773082994557e-07
235,470000,857500,3.6846085538107154e-06
236,470500,857500,2.0952016614820805e-05
237,471000,857500,8.138447337906092e-05
238,471500,857500,0.00020595151612753622
239,472000,857500,0.0003424499228433439
240,472500,857500,0.0004137562642762125
241,473000,857500,0.00047379739064691096
